participant_id	WJ-III_WordID_Raw	WJ-III_WordID_StS	WJ-III_PassComp_Raw	WJ-III_PassComp_StS	WJ-III_ReadFluency_Raw	WJ-III_ReadFluency_StS
5167	n/a	n/a	n/a	n/a	n/a	n/a
5169	52	108	33	113	48	114
5171	n/a	n/a	n/a	n/a	n/a	n/a
5172	n/a	n/a	n/a	n/a	n/a	n/a
5173	n/a	n/a	n/a	n/a	n/a	n/a
5177	n/a	n/a	n/a	n/a	n/a	n/a
5179	n/a	n/a	n/a	n/a	n/a	n/a
5182	n/a	n/a	n/a	n/a	n/a	n/a
5183	n/a	n/a	n/a	n/a	n/a	n/a
5185	n/a	n/a	n/a	n/a	n/a	n/a
5186	50	118	27	97	42	108
5187	54	111	25	92	n/a	n/a
5188	n/a	n/a	n/a	n/a	n/a	n/a
5189	n/a	n/a	n/a	n/a	n/a	n/a
5190	n/a	n/a	n/a	n/a	n/a	n/a
5192	61	122	29	101	35	100
5193	n/a	n/a	n/a	n/a	n/a	n/a
5194	n/a	n/a	n/a	n/a	n/a	n/a
5198	n/a	n/a	n/a	n/a	n/a	n/a
5199	n/a	n/a	n/a	n/a	n/a	n/a
5200	55	110	30	101	40	102
5201	56	112	32	108	65	130
5204	n/a	n/a	n/a	n/a	n/a	n/a
5205	n/a	n/a	n/a	n/a	n/a	n/a
5207	n/a	n/a	n/a	n/a	n/a	n/a
5211	51	107	29	100	44	108
5213	57	115	34	115	59	125
5215	62	123	34	116	60	128
5216	n/a	n/a	n/a	n/a	n/a	n/a
5217	51	103	27	95	24	87
5218	n/a	n/a	n/a	n/a	n/a	n/a
5220	n/a	n/a	n/a	n/a	n/a	n/a
5222	45	98	30	104	47	113
5223	n/a	n/a	n/a	n/a	n/a	n/a
5224	n/a	n/a	n/a	n/a	n/a	n/a
5226	58	117	30	103	42	107
5227	50	104	27	95	30	93
5229	40	90	22	84	22	84
5231	46	98	29	100	34	99
5233	46	98	33	113	42	107
5237	40	91	26	95	31	96
5242	n/a	n/a	n/a	n/a	n/a	n/a
5244	48	102	28	99	30	95
5246	58	117	29	100	53	118
5247	n/a	n/a	n/a	n/a	n/a	n/a
5250	n/a	n/a	n/a	n/a	n/a	n/a
5252	n/a	n/a	n/a	n/a	n/a	n/a
5255	n/a	n/a	n/a	n/a	n/a	n/a
5256	n/a	n/a	n/a	n/a	n/a	n/a
5258	38	89	24	89	31	98
5259	n/a	n/a	n/a	n/a	n/a	n/a
5260	n/a	n/a	n/a	n/a	n/a	n/a
5262	n/a	n/a	n/a	n/a	n/a	n/a
5267	n/a	n/a	n/a	n/a	n/a	n/a
5270	n/a	n/a	n/a	n/a	n/a	n/a
5272	n/a	n/a	n/a	n/a	n/a	n/a
5274	n/a	n/a	n/a	n/a	n/a	n/a
5280	n/a	n/a	n/a	n/a	n/a	n/a
5282	n/a	n/a	n/a	n/a	n/a	n/a
5286	n/a	n/a	n/a	n/a	n/a	n/a
5287	n/a	n/a	n/a	n/a	n/a	n/a
5289	n/a	n/a	n/a	n/a	n/a	n/a
5290	62	122	32	108	56	122
5295	n/a	n/a	n/a	n/a	n/a	n/a
5300	n/a	n/a	n/a	n/a	n/a	n/a
5301	n/a	n/a	n/a	n/a	n/a	n/a
5302	n/a	n/a	n/a	n/a	n/a	n/a
5304	61	122	31	107	43	108
5307	65	127	34	114	50	113
5308	54	110	29	100	39	103
5310	n/a	n/a	n/a	n/a	n/a	n/a
5311	n/a	n/a	n/a	n/a	n/a	n/a
5312	55	112	30	99	53	114
5314	n/a	n/a	n/a	n/a	n/a	n/a
5316	n/a	n/a	n/a	n/a	n/a	n/a
5317	62	122	34	115	47	111
5325	n/a	n/a	n/a	n/a	n/a	n/a
5328	n/a	n/a	n/a	n/a	n/a	n/a
5330	n/a	n/a	n/a	n/a	n/a	n/a
5332	n/a	n/a	n/a	n/a	n/a	n/a
5334	62	119	33	109	59	120
5336	n/a	n/a	n/a	n/a	n/a	n/a
5338	n/a	n/a	n/a	n/a	n/a	n/a
5341	n/a	n/a	n/a	n/a	n/a	n/a
5342	n/a	n/a	n/a	n/a	n/a	n/a
5344	n/a	n/a	n/a	n/a	n/a	n/a
5347	n/a	n/a	n/a	n/a	n/a	n/a
5348	n/a	n/a	n/a	n/a	n/a	n/a
5352	n/a	n/a	n/a	n/a	n/a	n/a
5354	n/a	n/a	n/a	n/a	n/a	n/a
5355	n/a	n/a	n/a	n/a	n/a	n/a
5357	41	89	27	94	26	88
5358	n/a	n/a	n/a	n/a	n/a	n/a
5362	n/a	n/a	n/a	n/a	n/a	n/a
5363	n/a	n/a	n/a	n/a	n/a	n/a
5365	57	115	29	100	42	107
5367	47	98	33	110	46	108
5369	56	113	29	100	40	104
5370	51	106	30	103	38	103
5371	n/a	n/a	n/a	n/a	n/a	n/a
5372	53	110	26	95	42	111
5374	46	96	28	96	39	101
5376	n/a	n/a	n/a	n/a	n/a	n/a
5378	n/a	n/a	n/a	n/a	n/a	n/a
5379	57	113	32	108	37	100
5380	n/a	n/a	n/a	n/a	n/a	n/a
5382	n/a	n/a	n/a	n/a	n/a	n/a
5385	n/a	n/a	n/a	n/a	n/a	n/a
5386	n/a	n/a	n/a	n/a	n/a	n/a
5388	54	109	33	112	43	107
5389	47	97	26	92	31	93
5391	n/a	n/a	n/a	n/a	n/a	n/a
5393	45	97	25	92	36	101
5395	n/a	n/a	n/a	n/a	n/a	n/a
5398	n/a	n/a	n/a	n/a	n/a	n/a
5400	60	120	28	98	39	104
5403	n/a	n/a	n/a	n/a	n/a	n/a
5404	62	123	32	109	51	115
5405	n/a	n/a	n/a	n/a	n/a	n/a
5406	63	125	29	100	38	103
5407	n/a	n/a	n/a	n/a	n/a	n/a
5408	n/a	n/a	n/a	n/a	n/a	n/a
5409	51	104	30	102	36	100
5413	n/a	n/a	n/a	n/a	n/a	n/a
5414	31	76	17	75	7	71
5417	n/a	n/a	n/a	n/a	n/a	n/a
5420	n/a	n/a	n/a	n/a	n/a	n/a
5425	n/a	n/a	n/a	n/a	n/a	n/a
5428	n/a	n/a	n/a	n/a	n/a	n/a
5430	47	100	24	90	44	109
5435	40	90	23	88	42	107
5438	n/a	n/a	n/a	n/a	n/a	n/a
5439	n/a	n/a	n/a	n/a	n/a	n/a
5443	n/a	n/a	n/a	n/a	n/a	n/a
5445	54	111	25	93	44	109
5446	n/a	n/a	n/a	n/a	n/a	n/a
5447	45	95	28	97	31	94
5448	n/a	n/a	n/a	n/a	n/a	n/a
5452	n/a	n/a	n/a	n/a	n/a	n/a
5457	n/a	n/a	n/a	n/a	n/a	n/a
5460	47	98	25	91	28	91
5462	n/a	n/a	n/a	n/a	n/a	n/a
5463	n/a	n/a	n/a	n/a	n/a	n/a
5464	n/a	n/a	n/a	n/a	n/a	n/a
5468	n/a	n/a	n/a	n/a	n/a	n/a
5471	n/a	n/a	n/a	n/a	n/a	n/a
5472	n/a	n/a	n/a	n/a	n/a	n/a
5474	n/a	n/a	n/a	n/a	n/a	n/a
5475	n/a	n/a	n/a	n/a	n/a	n/a
5476	44	92	31	104	34	96
5477	n/a	n/a	n/a	n/a	n/a	n/a
5478	n/a	n/a	n/a	n/a	n/a	n/a
5479	n/a	n/a	n/a	n/a	n/a	n/a
5480	50	102	22	84	28	91
5482	n/a	n/a	n/a	n/a	n/a	n/a
5486	n/a	n/a	n/a	n/a	n/a	n/a
5489	n/a	n/a	n/a	n/a	n/a	n/a
5492	n/a	n/a	n/a	n/a	n/a	n/a
5493	n/a	n/a	n/a	n/a	n/a	n/a
5495	n/a	n/a	n/a	n/a	n/a	n/a
5496	n/a	n/a	n/a	n/a	n/a	n/a
5497	n/a	n/a	n/a	n/a	n/a	n/a
5499	n/a	n/a	n/a	n/a	n/a	n/a
5501	n/a	n/a	n/a	n/a	n/a	n/a
5502	n/a	n/a	n/a	n/a	n/a	n/a
5503	n/a	n/a	n/a	n/a	n/a	n/a
5507	n/a	n/a	n/a	n/a	n/a	n/a
5508	n/a	n/a	n/a	n/a	n/a	n/a
5510	n/a	n/a	n/a	n/a	n/a	n/a
5513	n/a	n/a	n/a	n/a	n/a	n/a
5514	n/a	n/a	n/a	n/a	n/a	n/a
5516	n/a	n/a	n/a	n/a	n/a	n/a
5519	n/a	n/a	n/a	n/a	n/a	n/a
5520	n/a	n/a	n/a	n/a	n/a	n/a
5524	n/a	n/a	n/a	n/a	n/a	n/a
5526	n/a	n/a	n/a	n/a	n/a	n/a
5527	n/a	n/a	n/a	n/a	n/a	n/a
5528	n/a	n/a	n/a	n/a	n/a	n/a
5529	n/a	n/a	n/a	n/a	n/a	n/a
5531	n/a	n/a	n/a	n/a	n/a	n/a
5534	n/a	n/a	n/a	n/a	n/a	n/a
5536	n/a	n/a	n/a	n/a	n/a	n/a
5537	n/a	n/a	n/a	n/a	n/a	n/a
5541	n/a	n/a	n/a	n/a	n/a	n/a
5543	n/a	n/a	n/a	n/a	n/a	n/a
5544	n/a	n/a	n/a	n/a	n/a	n/a
5547	n/a	n/a	n/a	n/a	n/a	n/a
5550	n/a	n/a	n/a	n/a	n/a	n/a
5551	n/a	n/a	n/a	n/a	n/a	n/a
5553	n/a	n/a	n/a	n/a	n/a	n/a
5555	n/a	n/a	n/a	n/a	n/a	n/a
5556	n/a	n/a	n/a	n/a	n/a	n/a
5558	n/a	n/a	n/a	n/a	n/a	n/a
5559	n/a	n/a	n/a	n/a	n/a	n/a
5560	n/a	n/a	n/a	n/a	n/a	n/a
5561	n/a	n/a	n/a	n/a	n/a	n/a
5562	n/a	n/a	n/a	n/a	n/a	n/a
5565	n/a	n/a	n/a	n/a	n/a	n/a
5567	n/a	n/a	n/a	n/a	n/a	n/a
5571	n/a	n/a	n/a	n/a	n/a	n/a
5573	n/a	n/a	n/a	n/a	n/a	n/a
5574	n/a	n/a	n/a	n/a	n/a	n/a
5579	n/a	n/a	n/a	n/a	n/a	n/a
5580	n/a	n/a	n/a	n/a	n/a	n/a
5581	n/a	n/a	n/a	n/a	n/a	n/a
5584	n/a	n/a	n/a	n/a	n/a	n/a
5587	n/a	n/a	n/a	n/a	n/a	n/a
5588	n/a	n/a	n/a	n/a	n/a	n/a
5589	n/a	n/a	n/a	n/a	n/a	n/a
